Weekly_Sales,Temperature,Fuel_Price,CPI,Unemployment
1904512.34,75.7,3.911,191.5776756,8.684
682447.1,22.0,2.94,131.5866129,8.35
641965.2,62.36,2.837,132.7564516,8.099
1120018.92,40.71,3.186,132.8369333,8.067
543754.17,26.54,3.336,132.8150323,8.067
582864.35,21.64,3.416,133.260871,7.771
607593.51,67.59,3.93,136.2745806,7.806
1066478.1,41.1,3.689,136.4788,7.866
603460.79,31.44,3.566,136.6432581,7.866
628218.22,31.91,3.826,137.1666774,7.943
587259.82,71.61,4.076,138.4729355,8.193
472044.28,20.87,2.572,189.4642725,7.039
537518.57,57.24,2.78,190.3958293,6.868
651837.77,23.46,2.742,191.0121805,6.986
575317.38,19.66,2.829,191.2557002,6.986
466806.89,15.02,3.037,191.8572881,6.614
574622.56,56.99,3.566,194.6387853,6.338
712422.4,31.39,3.424,195.7704,6.232
665861.06,23.91,3.119,196.3586101,6.232
473766.97,23.69,3.103,196.9195056,6.162
537138.58,60.09,3.596,198.0950484,6.061
841951.91,18.36,2.671,126.4962581,6.548
1200888.28,56.28,2.87,126.1145806,6.697
1005448.76,19.03,2.83,126.6692667,6.885
635862.55,20.79,2.868,127.0876774,6.885
813211.46,14.19,3.034,127.859129,6.866
1161900.18,61.94,3.619,129.3686129,6.745
1225700.28,32.81,3.445,129.8364,6.617
777207.3,26.73,3.119,130.0710323,6.617
880165.7,23.63,3.116,130.3849032,6.403
1255633.29,61.99,3.689,130.9325484,5.936
1187880.7,26.41,2.771,131.5866129,9.202
1011201.12,67.09,2.717,132.7564516,9.342
1653759.36,40.81,3.07,132.8369333,9.331
887907.01,26.1,3.177,132.8150323,9.331
1122053.58,24.3,3.255,133.260871,9.131
951549.61,68.11,3.809,136.2745806,8.89
1624170.99,41.97,3.536,136.4788,8.471
1010562.49,32.36,3.402,136.6432581,8.471
1161615.51,32.83,3.655,137.1666774,8.075
1083521.24,71.85,3.921,138.4729355,8.535
1536549.95,23.22,2.94,131.5866129,8.35
1591453.39,63.36,2.837,132.7564516,8.099
1993367.83,42.62,3.186,132.8369333,8.067
1275146.94,28.65,3.336,132.8150323,8.067
1430851.11,21.79,3.416,133.260871,7.771
1566712.79,68.28,3.93,136.2745806,7.806
1974646.78,42.75,3.689,136.4788,7.866
1405168.06,31.65,3.566,136.6432581,7.866
1499496.67,32.61,3.826,137.1666774,7.943
1497073.82,72.2,4.076,138.4729355,8.193
2109107.9,22.12,2.773,204.3857472,8.187
2014954.79,65.02,2.699,204.7266827,7.527
2811634.04,46.66,3.039,204.9621,7.484
1799737.79,28.85,3.179,204.6432267,7.484
2211388.14,25.38,3.239,206.0763862,7.343
2050542.56,68.74,3.738,209.0225562,7.274
2906233.25,46.38,3.492,211.4120757,7.082
2043245.0,36.35,3.389,212.4035763,7.082
2462978.28,33.47,3.64,213.1186138,6.961
2080529.06,76.36,3.911,215.2189573,7.28
809321.44,37.77,2.548,210.8979935,8.324
674055.81,79.3,2.565,211.1532104,8.099
1245628.61,62.96,2.735,211.4062867,8.163
672903.23,47.19,2.943,211.064774,8.163
771908.51,34.61,3.022,212.5928624,8.028
653989.65,78.87,3.546,215.5148295,7.852
1219263.4,56.43,3.236,218.1130269,7.441
804362.36,45.16,3.129,219.1773063,7.441
770652.79,46.52,3.409,219.9049073,7.057
642827.29,88.4,3.73,222.0747635,6.565
1022571.25,28.14,2.771,135.4113076,8.283
924174.4,68.6,2.717,136.6212085,8.433
1564502.26,44.61,3.07,136.6895714,8.572
774262.28,28.49,3.177,136.665265,8.572
1009206.33,28.89,3.255,137.1378318,8.458
1004434.54,69.14,3.809,140.2310173,8.023
1535857.49,46.28,3.536,140.4217857,7.706
982661.14,36.28,3.402,140.5874505,7.706
1034448.07,35.68,3.655,141.1199827,7.503
996628.8,73.3,3.921,142.500303,7.753
1380892.08,18.75,2.771,131.5866129,5.892
1272842.85,63.21,2.717,132.7564516,5.326
2072685.05,34.95,3.07,132.8369333,5.287
1169773.85,19.05,3.177,132.8150323,5.287
1249786.4,21.52,3.255,133.260871,5.114
1423289.9,66.04,3.809,136.2745806,4.584
2057059.53,35.23,3.536,136.4788,4.42
1213486.95,22.3,3.402,136.6432581,4.42
1358444.07,26.6,3.655,137.1666774,4.261
1427162.26,66.74,3.921,138.4729355,4.156
1414107.1,25.94,2.94,131.5866129,8.326
1474498.59,67.11,2.837,132.7564516,8.117
1779276.51,41.92,3.186,132.8369333,8.275
1208600.05,25.9,3.336,132.8150323,8.275
1341240.62,26.51,3.416,133.260871,8.252
1527455.19,68.32,3.93,136.2745806,8.358
1761235.67,41.83,3.689,136.4788,8.454
1363973.16,33.45,3.566,136.6432581,8.454
1403460.87,33.82,3.826,137.1666774,8.659
1477134.75,72.81,4.076,138.4729355,8.953
583364.02,19.64,2.773,204.3857472,8.187
655811.95,61.14,2.699,204.7266827,7.527
1115240.61,43.43,3.039,204.9621,7.484
623092.54,25.89,3.179,204.6432267,7.484
615666.78,21.18,3.239,206.0763862,7.343
673248.48,67.51,3.738,209.0225562,7.274
1116211.39,43.49,3.492,211.4120757,7.082
683665.37,32.42,3.389,212.4035763,7.082
658984.38,32.47,3.64,213.1186138,6.961
671482.9,72.79,3.911,215.2189573,7.28
1015684.09,18.14,2.771,131.5866129,8.488
1042226.3,54.82,2.717,132.7564516,8.445
1286833.62,28.11,3.07,132.8369333,8.149
877268.29,18.73,3.177,132.8150323,8.149
1010711.08,15.12,3.255,133.260871,7.907
1069710.97,60.98,3.809,136.2745806,7.767
1282320.05,31.07,3.536,136.4788,7.598
972834.42,18.8,3.402,136.6432581,7.598
1081005.64,23.89,3.655,137.1666774,7.467
1081874.03,61.58,3.921,138.4729355,7.405
1745362.72,29.81,2.94,135.4113076,8.237
1913494.81,70.38,2.837,136.6212085,7.982
2627910.75,46.67,3.186,136.6895714,8.021
1440963.0,29.59,3.336,136.665265,8.021
1636224.77,30.45,3.416,137.1378318,7.827
1911470.84,70.93,3.93,140.2310173,7.85
2504400.71,47.88,3.689,140.4217857,7.906
1650604.6,37.85,3.566,140.5874505,7.906
1651605.35,37.86,3.826,141.1199827,8.009
1840955.23,76.0,4.076,142.500303,8.239
1558968.49,47.87,2.946,126.4962581,13.975
1246062.17,83.63,3.044,126.1145806,14.18
1937033.5,47.66,3.162,126.6692667,14.313
1090558.57,45.64,3.148,127.0876774,14.313
1397301.38,51.3,3.381,127.859129,14.021
1310087.0,88.0,3.913,129.3686129,13.503
1929738.27,53.25,3.622,129.8364,12.89
1270036.53,44.64,3.428,130.0710323,12.89
1572966.15,52.27,3.722,130.3849032,12.187
1469693.99,88.52,4.124,130.9325484,10.926
529672.95,28.14,2.771,131.5866129,10.064
491290.37,68.6,2.717,132.7564516,10.409
975268.91,44.61,3.07,132.8369333,10.524
465992.02,28.49,3.177,132.8150323,10.524
550387.78,28.89,3.255,133.260871,10.256
505406.72,69.14,3.809,136.2745806,9.863
913165.19,46.28,3.536,136.4788,9.357
551743.05,36.28,3.402,136.6432581,9.357
545840.05,35.68,3.655,137.1666774,8.988
540811.85,73.3,3.921,138.4729355,9.419
497374.57,37.77,2.548,210.8979935,8.324
455162.92,79.3,2.565,211.1532104,8.099
462732.36,62.96,2.735,211.4062867,8.163
397631.02,47.19,2.943,211.064774,8.163
470921.24,34.61,3.022,212.5928624,8.028
370897.82,78.87,3.546,215.5148295,7.852
452163.93,56.43,3.236,218.1130269,7.441
376777.45,45.16,3.129,219.1773063,7.441
451365.99,46.52,3.409,219.9049073,7.057
433565.77,88.4,3.73,222.0747635,6.565
1543947.23,37.77,2.548,210.8979935,8.324
1308179.02,79.3,2.565,211.1532104,8.099
1858856.06,62.96,2.735,211.4062867,8.163
1198071.6,47.19,2.943,211.064774,8.163
1539230.32,34.61,3.022,212.5928624,8.028
1376670.27,78.87,3.546,215.5148295,7.852
1934099.65,56.43,3.236,218.1130269,7.441
1355405.95,45.16,3.129,219.1773063,7.441
1527688.58,46.52,3.409,219.9049073,7.057
1358111.62,88.4,3.73,222.0747635,6.565
1123566.12,28.09,2.572,189.4642725,9.014
1028635.39,68.44,2.78,190.3958293,9.017
1634635.86,29.97,2.742,191.0121805,9.137
955463.84,27.7,2.829,191.2557002,9.137
1124357.2,18.51,3.037,191.8572881,8.818
1128237.3,61.24,3.566,194.6387853,8.622
1684468.66,40.22,3.424,195.7704,8.513
1102367.65,32.99,3.119,196.3586101,8.513
1129422.86,23.34,3.103,196.9195056,8.256
1126685.95,72.56,3.596,198.0950484,7.872
294882.83,55.47,2.828,126.4962581,10.115
272834.88,91.77,2.961,126.1145806,9.495
240044.57,56.87,3.162,126.6692667,9.265
219804.85,52.91,3.148,127.0876774,9.265
276198.74,53.35,3.381,127.859129,8.951
281842.28,96.22,3.771,129.3686129,8.442
255996.47,62.35,3.76,129.8364,8.01
215359.21,51.6,3.428,130.0710323,8.01
282552.58,59.94,3.722,130.3849032,7.603
286428.78,92.02,4.124,130.9325484,7.147
994610.99,36.13,2.573,126.4962581,9.521
932240.96,72.61,2.574,126.1145806,9.816
1309476.68,41.13,2.752,126.6692667,10.21
902109.69,34.11,2.955,127.0876774,10.21
1015654.6,28.66,3.033,127.859129,10.398
930506.14,70.05,3.554,129.3686129,10.641
1345595.82,45.99,3.225,129.8364,10.148
965512.36,28.84,3.119,130.0710323,10.148
1047658.09,36.7,3.411,130.3849032,9.653
976415.56,78.26,3.709,130.9325484,9.285
1168815.31,29.81,2.773,135.4113076,9.262
961685.98,70.38,2.699,136.6212085,8.861
1781866.98,46.67,3.039,136.6895714,8.763
576332.05,29.59,3.179,136.665265,8.763
859258.17,30.45,3.239,137.1378318,8.549
922440.64,70.93,3.738,140.2310173,8.684
1733822.4,47.88,3.492,140.4217857,8.745
904650.55,37.85,3.389,140.5874505,8.745
849779.14,37.86,3.64,141.1199827,8.744
984833.35,76.0,3.911,142.500303,8.839
469563.7,46.11,2.539,209.9970208,8.554
434471.38,80.58,2.513,210.2641156,8.36
408891.49,67.73,2.725,210.5152765,8.476
359310.65,52.88,2.949,210.182398,8.476
401501.2,41.16,3.009,211.6985093,8.395
352960.64,77.94,3.499,214.6155376,8.177
332811.55,66.41,3.181,217.1812533,7.716
287425.22,48.26,3.132,218.2302364,7.716
335741.9,54.49,3.462,218.9551002,7.244
293728.57,84.19,3.697,221.1181142,6.623
529852.7,46.11,2.548,209.9970208,8.554
510296.07,80.58,2.565,210.2641156,8.36
518220.72,67.73,2.735,210.5152765,8.476
460331.7,52.88,2.943,210.182398,8.476
522514.32,41.16,3.022,211.6985093,8.395
506273.74,77.94,3.546,214.6155376,8.177
522554.04,66.41,3.236,217.1812533,7.716
451327.61,48.26,3.129,218.2302364,7.716
527041.46,54.49,3.409,218.9551002,7.244
526838.14,84.19,3.73,221.1181142,6.623
342214.9,47.87,2.946,126.4962581,13.975
336227.69,83.63,3.044,126.1145806,14.18
360857.98,47.66,3.162,126.6692667,14.313
303908.81,45.64,3.148,127.0876774,14.313
377672.46,51.3,3.381,127.859129,14.021
397771.68,88.0,3.913,129.3686129,13.503
393715.71,53.25,3.622,129.8364,12.89
342667.35,44.64,3.428,130.0710323,12.89
469787.38,52.27,3.722,130.3849032,12.187
490274.82,88.52,4.124,130.9325484,10.926
1266229.07,44.58,2.548,209.9970208,8.554
1279666.47,79.94,2.565,210.2641156,8.36
2149355.2,67.75,2.735,210.5152765,8.476
1230012.16,52.45,2.943,210.182398,8.476
1227893.89,40.34,3.022,211.6985093,8.395
1429345.86,79.15,3.546,214.6155376,8.177
2338832.4,66.36,3.236,217.1812533,7.716
1537139.56,47.6,3.129,218.2302364,7.716
1442988.44,52.89,3.409,218.9551002,7.244
1609811.75,83.71,3.73,221.1181142,6.623
955338.29,20.84,2.771,131.5866129,5.892
967310.82,62.75,2.717,132.7564516,5.326
1166142.85,32.94,3.07,132.8369333,5.287
811318.3,19.29,3.177,132.8150323,5.287
931939.52,16.87,3.255,133.260871,5.114
1021391.99,64.83,3.809,136.2745806,4.584
1230011.95,32.76,3.536,136.4788,4.42
908853.15,18.75,3.402,136.6432581,4.42
999785.48,23.92,3.655,137.1666774,4.261
1088248.4,65.06,3.921,138.4729355,4.156
1075656.34,23.04,2.572,189.4642725,7.541
1172672.27,63.3,2.78,190.3958293,7.335
1866681.57,25.3,2.742,191.0121805,7.508
1001790.16,25.19,2.829,191.2557002,7.508
1150003.36,16.81,3.037,191.8572881,7.241
1280958.97,58.31,3.566,194.6387853,6.901
1906713.35,36.37,3.424,195.7704,6.759
1264014.16,34.12,3.119,196.3586101,6.759
1238844.56,22.0,3.103,196.9195056,6.589
1392143.82,67.41,3.596,198.0950484,6.432
575709.96,49.96,2.828,126.4962581,9.765
589091.04,84.04,2.961,126.1145806,9.199
522296.71,55.33,3.162,126.6692667,9.003
428953.6,49.67,3.148,127.0876774,9.003
628063.88,51.51,3.381,127.859129,8.744
608390.94,89.06,3.771,129.3686129,8.257
577698.37,60.68,3.76,129.8364,7.874
454412.28,48.92,3.428,130.0710323,7.874
674919.45,55.73,3.722,130.3849032,7.545
617405.35,83.07,4.124,130.9325484,7.17
682918.99,47.99,2.548,203.2010968,9.521
722120.04,81.32,2.565,203.4214677,9.816
633520.34,54.76,2.735,203.6952786,10.21
534740.3,48.61,2.943,203.4176843,10.21
635650.98,40.65,3.022,204.873871,10.398
649128.23,79.29,3.546,207.6833894,10.641
669965.22,55.7,3.236,210.0888571,10.148
505405.85,41.83,3.129,211.0740553,10.148
662198.65,46.54,3.409,211.7644101,9.653
663814.18,84.99,3.73,213.7990991,9.285
286857.13,33.16,2.671,126.4962581,8.119
283455.13,65.74,2.87,126.1145806,7.804
307646.5,28.22,2.83,126.6692667,7.61
241937.11,26.79,2.868,127.0876774,7.61
307486.73,30.83,3.034,127.859129,7.224
295811.25,70.19,3.619,129.3686129,6.56
309129.01,38.89,3.445,129.8364,6.078
263917.85,31.53,3.119,130.0710323,6.078
325377.97,33.73,3.116,130.3849032,5.774
338737.33,70.65,3.689,130.9325484,5.407
656988.64,27.73,2.773,181.982317,8.992
721460.22,70.87,2.699,182.598178,8.743
1182500.16,46.15,3.039,182.7832769,8.724
679156.2,29.67,3.179,182.5714479,8.724
766456.0,30.3,3.239,183.7016129,8.549
746129.56,71.48,3.738,186.6737376,8.625
1170672.94,48.71,3.492,188.3504,8.523
869403.63,37.79,3.389,189.0620155,8.523
803657.12,37.0,3.64,189.7076048,8.424
766512.66,75.7,3.911,191.5776756,8.684
