Rented Bike Count,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm)
81,7,-4.7,56,1.1,2000,-12.1,0.0,0.0,0.0
89,8,-5.0,55,1.0,2000,-12.6,0.0,0.0,0.0
121,9,-4.3,39,0.7,1973,-16.2,0.15,0.0,0.0
139,10,-1.6,32,0.8,1766,-16.1,0.53,0.0,0.0
169,11,0.1,27,2.2,1874,-16.7,0.84,0.0,0.0
225,12,1.5,20,2.8,1992,-19.0,1.03,0.0,0.0
248,13,2.4,22,2.3,1921,-17.2,1.1,0.0,0.0
298,14,3.7,24,2.1,1906,-15.0,1.01,0.0,0.0
344,15,3.0,27,2.9,1715,-14.2,0.78,0.0,0.0
310,16,3.0,28,2.5,1864,-13.7,0.51,0.0,0.0
271,17,1.8,33,3.3,1913,-12.8,0.18,0.0,0.0
218,18,0.8,34,1.9,1887,-13.3,0.01,0.0,0.0
125,19,-0.1,39,1.3,1911,-12.4,0.0,0.0,0.0
206,20,-0.3,40,1.2,1936,-12.2,0.0,0.0,0.0
203,21,-0.9,44,1.2,1871,-11.6,0.0,0.0,0.0
168,22,-1.3,48,0.8,1927,-10.9,0.0,0.0,0.0
154,23,-1.6,51,0.7,1882,-10.4,0.0,0.0,0.0
126,0,-0.7,37,3.5,1716,-13.6,0.0,0.0,0.0
123,1,-1.1,38,2.8,1999,-13.6,0.0,0.0,0.0
112,2,-1.2,35,2.2,2000,-14.7,0.0,0.0,0.0
74,3,-1.4,34,2.1,2000,-15.2,0.0,0.0,0.0
58,4,-1.9,34,3.0,2000,-15.7,0.0,0.0,0.0
32,5,-2.4,33,3.1,2000,-16.5,0.0,0.0,0.0
39,6,-2.6,38,1.0,2000,-15.0,0.0,0.0,0.0
55,7,-3.0,40,0.9,2000,-14.7,0.0,0.0,0.0
112,8,-3.0,38,1.0,2000,-15.4,0.0,0.0,0.0
112,9,-3.5,30,1.5,1980,-18.6,0.0,0.0,0.0
127,10,-1.6,26,1.9,1980,-18.6,1.29,0.0,0.0
170,11,0.1,22,2.0,2000,-19.1,1.84,0.0,0.0
174,12,1.7,20,3.0,1983,-18.9,2.28,0.0,0.0
240,13,2.2,18,3.4,1942,-19.7,2.3,0.0,0.0
270,14,2.9,14,4.3,2000,-22.0,2.29,0.0,0.0
276,15,3.8,17,3.2,2000,-19.0,1.97,0.0,0.0
273,16,3.2,16,3.0,2000,-20.2,1.45,0.0,0.0
236,17,2.4,17,3.1,1990,-20.2,0.78,0.0,0.0
190,18,1.1,18,2.5,2000,-20.6,0.2,0.0,0.0
166,19,0.1,21,2.9,2000,-19.7,0.0,0.0,0.0
148,20,-0.4,27,2.2,2000,-17.1,0.0,0.0,0.0
134,21,-1.1,32,2.4,2000,-15.7,0.0,0.0,0.0
145,22,-1.9,30,0.8,2000,-17.2,0.0,0.0,0.0
92,23,-2.5,31,1.4,1996,-17.3,0.0,0.0,0.0
105,0,-3.3,35,1.8,1977,-16.6,0.0,0.0,0.0
77,1,-3.6,35,2.0,1943,-16.8,0.0,0.0,0.0
47,2,-4.1,38,1.2,1996,-16.3,0.0,0.0,0.0
36,3,-4.4,37,1.7,1989,-16.9,0.0,0.0,0.0
35,4,-4.5,42,1.4,1944,-15.5,0.0,0.0,0.0
28,5,-5.0,44,0.9,1976,-15.3,0.0,0.0,0.0
30,6,-5.2,42,0.7,1980,-16.1,0.0,0.0,0.0
49,7,-5.4,41,0.3,2000,-16.6,0.0,0.0,0.0
68,8,-5.4,38,0.7,2000,-17.5,0.04,0.0,0.0
48,9,-4.3,33,0.7,1923,-18.2,0.6,0.0,0.0
78,10,-1.3,32,1.5,1933,-15.9,1.24,0.0,0.0
93,11,1.0,25,1.4,1782,-16.8,1.7,0.0,0.0
137,12,2.2,19,1.4,1946,-19.1,2.01,0.0,0.0
169,13,3.5,17,3.2,1971,-19.3,2.2,0.0,0.0
196,14,4.2,18,3.3,1976,-18.0,2.25,0.0,0.0
243,15,4.0,26,3.5,2000,-13.8,1.75,0.0,0.0
189,16,3.3,38,3.8,1921,-9.6,1.33,0.0,0.0
210,17,2.5,48,4.2,1979,-7.4,0.76,0.0,0.0
165,18,1.4,56,3.2,1932,-6.4,0.22,0.0,0.0
126,19,0.6,59,2.3,1939,-6.5,0.0,0.0,0.0
150,20,0.2,61,1.9,1956,-6.4,0.0,0.0,0.0
114,21,0.1,67,2.5,1451,-5.3,0.0,0.0,0.0
116,22,-0.6,70,3.4,1204,-5.4,0.0,0.0,0.0
84,23,-2.0,51,3.2,1336,-10.8,0.0,0.0,0.0
79,0,-2.7,41,3.2,1695,-14.1,0.0,0.0,0.0
71,1,-3.1,36,3.5,2000,-16.0,0.0,0.0,0.0
56,2,-3.8,30,3.9,2000,-18.8,0.0,0.0,0.0
34,3,-4.5,28,3.0,2000,-20.3,0.0,0.0,0.0
20,4,-5.2,28,2.5,2000,-20.9,0.0,0.0,0.0
14,5,-5.7,31,2.3,1999,-20.1,0.0,0.0,0.0
39,6,-6.2,32,2.5,2000,-20.2,0.0,0.0,0.0
35,7,-6.8,32,1.6,2000,-20.7,0.0,0.0,0.0
80,8,-7.1,30,1.7,1991,-21.7,0.04,0.0,0.0
98,9,-6.5,26,2.4,1874,-22.8,0.64,0.0,0.0
103,10,-4.3,21,1.4,1908,-23.4,1.34,0.0,0.0
155,11,-2.8,19,2.6,1957,-23.2,1.91,0.0,0.0
183,12,-1.3,17,1.5,1998,-23.2,2.28,0.0,0.0
193,13,-0.4,15,2.4,1938,-23.9,2.46,0.0,0.0
258,14,-0.1,15,4.0,2000,-23.7,2.39,0.0,0.0
273,15,1.0,14,4.6,2000,-23.5,2.12,0.0,0.0
267,16,1.3,15,4.2,2000,-22.5,1.63,0.0,0.0
250,17,0.6,17,3.3,2000,-21.7,0.79,0.0,0.0
223,18,-0.3,17,1.9,2000,-22.4,0.2,0.0,0.0
169,19,-1.5,32,2.5,2000,-16.0,0.0,0.0,0.0
145,20,-2.1,38,2.0,2000,-14.5,0.0,0.0,0.0
133,21,-2.3,38,2.3,2000,-14.7,0.0,0.0,0.0
123,22,-2.7,42,2.2,2000,-13.8,0.0,0.0,0.0
117,23,-2.9,31,3.8,2000,-17.7,0.0,0.0,0.0
71,0,2.0,96,1.3,1894,1.4,0.0,2.0,0.0
147,1,2.1,97,0.2,859,1.6,0.0,0.0,0.0
180,2,2.0,97,1.0,580,1.5,0.0,0.0,0.0
92,3,1.6,97,2.3,469,1.1,0.0,0.1,0.0
28,4,1.6,97,1.1,636,1.1,0.0,0.0,0.0
11,5,2.2,97,2.9,362,1.7,0.0,0.0,0.0
33,6,3.0,96,2.7,303,2.4,0.0,0.4,0.0
61,7,2.6,89,4.3,320,0.9,0.0,0.0,0.0
148,8,1.5,80,3.2,1246,-1.5,0.04,0.0,0.0
160,9,0.1,78,4.9,615,-3.2,0.09,0.0,0.0
191,10,0.1,53,5.3,1022,-8.3,1.12,0.0,0.0
239,11,0.8,52,4.6,1035,-7.9,2.2,0.0,0.0
311,12,0.5,46,4.7,1172,-9.8,2.49,0.0,0.0
358,13,1.4,37,4.0,1681,-11.7,2.95,0.0,0.0
375,14,1.2,36,6.0,1430,-12.2,2.86,0.0,0.0
458,15,1.6,35,4.5,1567,-12.2,2.54,0.0,0.0
460,16,1.4,33,4.8,1480,-13.1,1.98,0.0,0.0
423,17,0.4,37,5.2,1366,-12.6,1.23,0.0,0.0
317,18,-0.8,40,4.7,1429,-12.7,0.43,0.0,0.0
231,19,-1.7,45,3.3,1375,-12.1,0.01,0.0,0.0
246,20,-2.2,49,3.5,1325,-11.4,0.0,0.0,0.0
212,21,-3.0,50,3.7,1301,-11.9,0.0,0.0,0.0
190,22,-3.6,52,3.7,1277,-12.0,0.0,0.0,0.0
190,23,-4.0,52,3.4,1272,-12.4,0.0,0.0,0.0
782,0,18.3,78,0.8,349,14.3,0.0,0.0,0.0
705,1,18.3,83,1.1,451,15.3,0.0,0.0,0.0
534,2,18.2,85,0.8,355,15.6,0.0,0.0,0.0
343,3,18.1,85,1.0,284,15.5,0.0,0.0,0.0
187,4,18.0,85,0.3,275,15.4,0.0,0.0,0.0
166,5,18.0,85,0.8,346,15.4,0.0,0.0,0.0
306,6,17.8,85,0.6,265,15.2,0.0,0.0,0.0
614,7,18.0,82,0.7,264,14.8,0.11,0.0,0.0
1067,8,18.8,76,0.6,301,14.4,0.36,0.0,0.0
1024,9,20.7,67,1.1,464,14.3,1.3,0.0,0.0
1002,10,22.2,61,1.2,531,14.3,1.72,0.0,0.0
1117,11,22.7,63,1.1,605,15.2,1.36,0.0,0.0
1315,12,22.1,67,2.7,462,15.6,0.81,0.0,0.0
1493,13,23.0,63,3.1,494,15.5,1.92,0.0,0.0
1536,14,23.0,64,2.8,520,15.8,1.59,0.0,0.0
1639,15,23.1,61,2.5,556,15.1,1.5,0.0,0.0
1759,16,22.6,63,3.1,551,15.1,0.88,0.0,0.0
1898,17,22.0,65,2.4,589,15.1,0.47,0.0,0.0
2082,18,21.6,67,2.0,584,15.2,0.24,0.0,0.0
1696,19,21.2,68,1.5,610,15.0,0.16,0.0,0.0
1656,20,20.6,72,1.3,587,15.3,0.0,0.0,0.0
1644,21,20.2,74,1.3,554,15.4,0.0,0.0,0.0
1400,22,19.9,75,0.8,516,15.3,0.0,0.0,0.0
855,23,19.8,73,0.9,442,14.8,0.0,0.0,0.0
957,0,16.0,71,0.5,1299,10.7,0.0,0.0,0.0
810,1,15.9,71,1.1,1312,10.6,0.0,0.0,0.0
590,2,15.7,74,1.0,1313,11.0,0.0,0.0,0.0
406,3,15.5,0,0.7,1420,10.4,0.0,0.0,0.0
248,4,15.6,0,0.5,1502,10.5,0.0,0.0,0.0
182,5,15.7,0,0.6,1610,10.6,0.0,0.0,0.0
277,6,15.5,0,0.5,1691,10.4,0.06,0.0,0.0
443,7,16.3,69,0.7,1750,10.5,0.34,0.0,0.0
694,8,18.2,63,0.8,1731,11.0,1.0,0.0,0.0
912,9,19.3,62,0.8,1894,11.8,1.14,0.0,0.0
1119,10,20.7,55,1.8,1698,11.3,1.43,0.0,0.0
1438,11,21.9,55,1.4,1820,12.4,1.87,0.0,0.0
1798,12,22.9,51,1.1,1591,12.2,1.8,0.0,0.0
2000,13,22.7,52,1.0,1399,12.3,0.94,0.0,0.0
1407,14,22.8,53,1.4,1630,12.7,0.98,0.0,0.0
163,15,21.1,72,2.7,663,15.8,0.31,0.1,0.0
86,16,19.5,80,1.2,553,15.9,0.53,0.4,0.0
50,17,18.6,84,1.8,499,15.8,0.28,1.0,0.0
30,18,17.9,93,1.2,258,16.7,0.13,2.0,0.0
45,19,17.6,93,0.3,331,16.4,0.06,1.5,0.0
30,20,17.2,85,1.4,467,14.6,0.0,0.5,0.0
58,21,17.0,85,1.1,597,14.4,0.0,0.5,0.0
29,22,16.8,87,0.6,447,14.6,0.0,0.5,0.0
18,23,16.3,96,1.1,198,15.6,0.0,2.5,0.0
1268,0,21.2,60,0.9,1789,13.1,0.0,0.0,0.0
1031,1,20.6,63,0.6,1670,13.3,0.0,0.0,0.0
792,2,20.1,65,1.0,1435,13.3,0.0,0.0,0.0
562,3,19.6,68,1.7,1260,13.5,0.0,0.0,0.0
332,4,19.2,68,0.8,1181,13.1,0.0,0.0,0.0
218,5,18.7,73,1.4,1065,13.7,0.0,0.0,0.0
351,6,18.5,73,1.1,1028,13.5,0.06,0.0,0.0
536,7,19.3,63,0.7,916,12.0,0.46,0.0,0.0
799,8,21.2,59,1.2,794,12.8,1.13,0.0,0.0
925,9,22.9,56,2.3,763,13.6,1.74,0.0,0.0
1087,10,24.3,53,2.9,949,14.1,2.37,0.0,0.0
1152,11,25.8,52,2.1,905,15.1,2.84,0.0,0.0
1400,12,27.3,51,2.8,703,16.2,3.16,0.0,0.0
1444,13,27.3,52,3.1,613,16.5,3.21,0.0,0.0
1603,14,27.4,50,3.5,615,16.0,3.01,0.0,0.0
1674,15,27.6,49,3.7,656,15.9,2.79,0.0,0.0
1940,16,27.9,47,2.8,824,15.5,2.36,0.0,0.0
2104,17,27.4,48,2.7,1084,15.4,1.8,0.0,0.0
2162,18,26.6,52,2.5,1368,15.9,1.09,0.0,0.0
2163,19,24.9,56,3.1,1469,15.5,0.51,0.0,0.0
2145,20,23.4,64,1.8,1144,16.1,0.07,0.0,0.0
1935,21,22.1,72,2.5,923,16.8,0.0,0.0,0.0
1624,22,20.8,78,1.8,763,16.8,0.0,0.0,0.0
1251,23,20.1,77,3.1,797,15.9,0.0,0.0,0.0
1034,0,30.0,67,0.8,1986,23.1,0.0,0.0,0.0
850,1,29.6,69,0.4,1942,23.3,0.0,0.0,0.0
676,2,29.5,68,0.4,1949,22.9,0.0,0.0,0.0
474,3,29.1,70,0.3,1952,23.0,0.0,0.0,0.0
310,4,28.8,73,0.5,1835,23.4,0.0,0.0,0.0
227,5,28.6,73,0.8,1808,23.2,0.0,0.0,0.0
346,6,28.4,74,1.0,1700,23.3,0.0,0.0,0.0
429,7,28.6,71,0.6,1797,22.8,0.17,0.0,0.0
553,8,29.9,60,0.8,1772,21.2,0.83,0.0,0.0
563,9,32.0,53,1.6,2000,21.2,1.56,0.0,0.0
547,10,33.5,49,1.0,1937,21.3,2.09,0.0,0.0
586,11,35.4,44,1.2,1887,21.2,2.58,0.0,0.0
563,12,36.5,41,1.1,1807,21.1,2.73,0.0,0.0
591,13,36.9,39,1.5,2000,20.6,2.46,0.0,0.0
627,14,37.2,38,0.9,1976,20.5,1.96,0.0,0.0
761,15,37.4,38,1.4,2000,20.6,1.72,0.0,0.0
877,16,36.6,39,0.7,2000,20.3,0.44,0.0,0.0
960,17,33.6,55,3.9,1929,23.3,0.86,0.0,0.0
925,18,32.8,63,2.3,1546,24.8,0.89,0.1,0.0
1301,19,28.7,76,0.7,2000,24.0,0.11,0.9,0.0
1500,20,28.4,69,1.5,2000,22.1,0.01,0.0,0.0
1507,21,28.6,69,1.3,2000,22.3,0.0,0.0,0.0
1350,22,28.6,67,1.0,2000,21.8,0.0,0.0,0.0
1008,23,28.5,69,1.1,2000,22.2,0.0,0.0,0.0
880,0,17.2,69,0.6,2000,11.4,0.0,0.0,0.0
644,1,16.4,66,0.1,2000,10.0,0.0,0.0,0.0
489,2,16.0,72,1.3,2000,10.9,0.0,0.0,0.0
334,3,15.8,70,0.8,2000,10.3,0.0,0.0,0.0
202,4,16.2,69,0.7,2000,10.4,0.0,0.0,0.0
106,5,16.3,67,0.8,2000,10.1,0.0,0.0,0.0
144,6,16.5,73,1.2,2000,11.6,0.0,0.0,0.0
261,7,16.5,74,0.4,2000,11.8,0.0,0.0,0.0
439,8,17.0,69,1.2,2000,11.2,0.3,0.0,0.0
534,9,18.4,59,1.0,1951,10.2,0.86,0.0,0.0
620,10,19.3,59,0.2,2000,11.0,0.94,0.0,0.0
764,11,20.1,57,3.0,1929,11.3,1.29,0.0,0.0
915,12,20.8,52,1.2,1984,10.5,1.25,0.0,0.0
1031,13,22.7,44,1.4,1913,9.8,1.77,0.0,0.0
1136,14,24.2,40,1.2,1953,9.7,2.62,0.0,0.0
1366,15,25.0,28,2.2,2000,5.2,2.39,0.0,0.0
1502,16,24.6,29,4.0,1988,5.3,1.73,0.0,0.0
1591,17,24.1,41,2.4,2000,10.0,1.17,0.0,0.0
1492,18,22.3,53,2.7,2000,12.2,0.44,0.0,0.0
1333,19,21.0,54,2.9,2000,11.3,0.01,0.0,0.0
1287,20,20.2,48,3.3,2000,8.8,0.0,0.0,0.0
1148,21,19.1,38,2.1,2000,4.4,0.0,0.0,0.0
1074,22,18.5,40,2.5,2000,4.6,0.0,0.0,0.0
768,23,17.7,45,1.1,2000,5.6,0.0,0.0,0.0
620,0,17.2,50,1.7,2000,6.6,0.0,0.0,0.0
426,1,16.8,53,2.0,2000,7.1,0.0,0.0,0.0
302,2,16.1,57,0.7,2000,7.5,0.0,0.0,0.0
216,3,15.5,63,0.3,2000,8.4,0.0,0.0,0.0
141,4,14.9,68,0.9,2000,9.0,0.0,0.0,0.0
105,5,14.4,66,0.3,2000,8.1,0.0,0.0,0.0
141,6,14.3,66,0.5,2000,8.0,0.0,0.0,0.0
205,7,14.7,61,2.1,2000,7.2,0.02,0.0,0.0
296,8,15.4,52,2.2,1985,5.5,0.49,0.0,0.0
310,9,17.0,43,2.1,1993,4.3,1.36,0.0,0.0
426,10,18.5,38,3.3,2000,3.8,2.02,0.0,0.0
588,11,19.4,31,4.1,1966,1.8,2.55,0.0,0.0
754,12,20.3,34,2.6,2000,3.9,2.85,0.0,0.0
885,13,20.9,30,3.5,2000,2.6,2.93,0.0,0.0
1099,14,21.3,30,4.3,2000,3.0,2.78,0.0,0.0
1273,15,21.8,32,3.3,2000,4.3,2.42,0.0,0.0
1433,16,22.0,31,2.7,2000,4.0,1.87,0.0,0.0
1442,17,21.6,32,3.1,2000,4.1,1.2,0.0,0.0
1237,18,20.3,35,2.4,2000,4.3,0.46,0.0,0.0
1280,19,18.6,54,2.7,2000,9.0,0.01,0.0,0.0
1227,20,17.6,57,1.4,2000,8.9,0.0,0.0,0.0
1145,21,16.8,58,1.2,2000,8.4,0.0,0.0,0.0
958,22,16.6,47,3.9,2000,5.2,0.0,0.0,0.0
750,23,15.7,51,0.4,2000,5.5,0.0,0.0,0.0
558,0,14.7,55,1.6,2000,5.7,0.0,0.0,0.0
408,1,13.8,60,0.8,2000,6.1,0.0,0.0,0.0
292,2,13.4,62,0.2,2000,6.2,0.0,0.0,0.0
222,3,12.7,67,0.5,2000,6.7,0.0,0.0,0.0
157,4,12.0,69,0.5,2000,6.4,0.0,0.0,0.0
105,5,11.5,70,0.5,2000,6.2,0.0,0.0,0.0
132,6,11.2,70,0.9,2000,5.9,0.0,0.0,0.0
262,7,10.8,72,0.9,2000,5.9,0.03,0.0,0.0
440,8,12.0,61,1.3,1988,4.6,0.6,0.0,0.0
542,9,15.3,49,1.0,2000,4.6,1.34,0.0,0.0
667,10,18.0,44,1.3,1984,5.5,1.99,0.0,0.0
853,11,20.1,40,1.6,1985,6.0,2.47,0.0,0.0
1045,12,21.7,36,2.0,2000,5.9,2.78,0.0,0.0
1309,13,22.9,30,2.0,2000,4.3,2.9,0.0,0.0
1522,14,23.7,28,1.4,2000,4.0,2.77,0.0,0.0
1747,15,24.1,26,1.6,2000,3.3,2.38,0.0,0.0
1955,16,24.2,28,1.7,2000,4.5,1.86,0.0,0.0
2033,17,22.9,33,1.4,2000,5.7,0.83,0.0,0.0
1885,18,21.6,37,1.0,2000,6.2,0.24,0.0,0.0
1608,19,20.3,39,0.6,2000,5.8,0.0,0.0,0.0
1583,20,19.3,45,0.4,2000,7.0,0.0,0.0,0.0
1565,21,18.5,48,1.0,2000,7.2,0.0,0.0,0.0
1418,22,17.7,52,1.0,2000,7.7,0.0,0.0,0.0
1042,23,17.4,49,1.2,2000,6.5,0.0,0.0,0.0
1040,0,14.5,74,0.4,2000,9.9,0.0,0.0,0.0
882,1,13.8,75,0.5,2000,9.4,0.0,0.0,0.0
685,2,13.2,77,1.2,1972,9.2,0.0,0.0,0.0
497,3,12.6,78,0.6,1907,8.8,0.0,0.0,0.0
284,4,12.1,80,1.2,1834,8.7,0.0,0.0,0.0
173,5,11.8,82,1.1,1878,8.8,0.0,0.0,0.0
278,6,11.4,84,0.3,1742,8.7,0.0,0.0,0.0
440,7,11.2,85,0.3,1593,8.7,0.02,0.0,0.0
762,8,11.8,73,1.0,1649,7.1,0.49,0.0,0.0
966,9,14.4,61,0.7,1340,6.9,1.21,0.0,0.0
1113,10,17.3,53,0.7,1406,7.6,1.83,0.0,0.0
1248,11,20.3,46,1.6,1409,8.2,2.29,0.0,0.0
1634,12,21.4,40,1.4,1973,7.2,2.53,0.0,0.0
1849,13,22.5,40,2.6,1854,8.2,2.64,0.0,0.0
1995,14,23.4,35,1.6,1972,7.0,2.51,0.0,0.0
2200,15,24.1,34,2.0,1996,7.2,2.14,0.0,0.0
2112,16,24.0,34,2.7,2000,7.1,1.62,0.0,0.0
2400,17,23.3,36,1.7,1960,7.3,0.95,0.0,0.0
2235,18,21.5,43,1.8,2000,8.3,0.26,0.0,0.0
1792,19,20.0,49,1.5,2000,8.9,0.0,0.0,0.0
1744,20,18.6,55,1.5,2000,9.3,0.0,0.0,0.0
1594,21,17.6,59,1.6,2000,9.4,0.0,0.0,0.0
1393,22,16.9,63,0.2,2000,9.8,0.0,0.0,0.0
1033,23,16.1,63,0.6,2000,9.0,0.0,0.0,0.0
0,0,12.6,54,0.2,2000,3.5,0.0,0.0,0.0
0,1,12.0,58,0.7,2000,3.9,0.0,0.0,0.0
