Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
12,20.3,11.9,16.5,17,388
8,22.3,14.9,19.0,15,437
4,10.0,6.5,8.4,34,193
4,10.4,6.7,8.7,32,200
4,10.2,7.0,8.8,32,202
4,10.0,6.5,8.4,34,193
4,10.4,6.7,8.7,32,200
4,10.6,7.2,9.1,31,209
4,10.6,7.2,9.1,31,209
4,10.6,7.2,9.1,31,209
6,11.4,7.3,9.6,29,221
6,11.8,7.9,10.0,28,230
6,11.7,7.8,9.9,29,228
6,11.9,8.3,10.3,27,237
6,11.9,8.0,10.1,28,232
4,10.0,6.5,8.4,34,193
4,10.4,6.7,8.7,32,200
4,10.6,7.2,9.1,31,209
6,11.4,7.3,9.6,29,221
6,11.8,7.9,10.0,28,230
6,11.7,7.8,9.9,29,228
6,11.9,8.3,10.3,27,237
4,10.2,7.0,8.8,32,202
4,10.6,7.2,9.1,31,209
6,11.9,8.0,10.1,28,232
6,12.5,8.6,10.7,26,246
8,14.4,9.6,12.2,23,281
8,15.0,9.8,12.7,22,292
6,11.9,8.0,10.1,28,232
8,15.0,9.8,12.7,22,292
8,14.4,9.6,12.2,23,281
8,15.0,9.8,12.7,22,292
6,12.5,8.6,10.7,26,246
8,15.0,9.8,12.7,22,292
8,15.0,9.8,12.7,22,292
12,18.7,11.5,15.5,18,356
6,9.2,7.1,8.3,34,191
6,10.5,7.9,9.3,30,214
6,10.5,7.6,9.2,31,212
8,15.0,9.8,12.7,22,292
8,15.0,9.8,12.7,22,292
8,17.3,11.5,14.7,19,338
8,16.2,10.9,13.8,20,317
8,17.3,11.5,14.7,19,338
8,16.2,10.9,13.8,20,317
8,17.3,11.5,14.7,19,338
8,16.2,10.9,13.8,20,317
8,17.3,11.5,14.7,19,338
8,16.2,10.9,13.8,20,317
4,10.6,7.2,9.1,31,209
6,13.2,8.9,11.3,25,260
4,11.2,8.5,10.0,28,230
6,12.6,9.1,11.0,26,253
6,12.9,8.8,11.1,25,255
8,16.3,10.9,13.9,20,320
8,18.1,13.7,16.1,18,370
6,13.6,9.8,11.9,24,274
8,16.4,11.3,14.1,20,324
4,10.8,7.1,9.1,31,209
4,10.4,6.7,8.7,32,200
6,13.7,10.1,12.1,23,278
6,12.7,9.0,11.0,26,253
6,13.7,10.1,12.1,23,278
6,14.3,9.9,12.3,23,283
6,14.6,10.2,12.6,22,290
4,9.5,7.2,8.5,33,196
4,10.2,8.0,9.2,31,212
6,13.7,8.7,11.5,25,264
6,13.7,8.9,11.5,25,264
4,9.6,6.5,8.2,34,189
4,11.5,7.9,9.9,29,228
4,11.6,7.5,9.8,29,225
4,12.3,8.7,10.7,26,246
4,9.6,6.5,8.2,34,189
4,11.5,7.9,9.9,29,228
4,11.6,7.5,9.8,29,225
4,11.3,7.4,9.5,30,218
4,11.3,7.5,9.6,29,221
4,12.1,7.9,10.2,28,235
4,10.5,7.2,9.0,31,207
6,12.8,8.5,10.9,26,251
4,11.8,8.1,10.1,28,232
6,13.1,9.0,11.3,25,260
6,13.2,8.7,11.2,25,258
6,13.3,9.0,11.4,25,262
4,11.9,7.9,10.1,28,232
6,12.9,8.2,10.8,26,248
4,12.6,8.5,10.8,26,248
6,13.1,9.0,11.3,25,260
6,15.1,9.9,12.8,22,294
6,12.7,8.9,11.0,26,253
6,13.3,8.9,11.3,25,260
6,12.8,9.1,11.1,25,255
6,13.3,9.0,11.4,25,262
8,19.7,12.9,16.6,17,382
8,16.7,12.5,14.8,19,340
8,19.7,12.9,16.6,17,382
8,16.7,12.5,14.8,19,340
8,19.7,12.9,16.6,17,382
8,16.7,12.5,14.8,19,340
8,17.0,11.8,14.7,19,338
8,18.8,13.4,16.4,17,377
6,14.3,9.8,12.3,23,283
6,14.8,10.4,12.8,22,294
6,13.6,8.6,11.4,25,262
6,14.0,9.1,11.8,24,271
6,14.8,9.8,12.6,22,290
6,13.2,8.7,11.2,25,258
6,14.2,8.6,11.7,24,269
6,12.7,7.9,10.5,27,242
8,15.3,9.8,12.8,22,294
8,15.0,9.9,12.7,22,292
8,19.7,12.9,16.6,17,382
8,16.7,12.5,14.8,19,340
8,14.9,8.5,12.0,24,276
8,13.7,8.2,11.2,25,258
4,9.1,6.3,7.8,36,179
4,9.1,6.3,7.8,36,179
4,10.5,6.7,8.8,32,202
4,9.5,6.5,8.2,34,189
4,9.1,6.0,7.7,37,177
4,8.4,5.6,7.1,40,163
4,10.5,7.3,9.1,31,209
6,13.9,9.6,12.0,24,276
4,11.5,8.2,10.0,28,230
6,14.8,9.9,12.6,22,290
6,17.1,12.7,15.1,19,347
8,18.0,13.4,15.9,18,366
8,18.3,14.2,16.5,17,380
8,18.6,13.9,16.5,17,380
8,18.3,14.2,16.5,17,380
8,18.6,13.9,16.5,17,380
8,18.3,14.2,16.5,17,380
8,21.1,14.2,18.0,16,414
8,21.9,15.0,18.8,15,432
8,21.3,14.3,18.2,16,419
8,22.1,15.0,18.9,15,435
4,11.3,7.5,9.6,29,221
6,12.6,8.2,10.6,27,244
4,10.0,7.0,8.7,32,200
4,11.5,7.9,9.9,29,228
4,9.3,6.4,8.0,35,184
4,12.2,8.6,10.6,27,244
4,11.8,8.3,10.2,28,235
6,13.4,9.9,11.8,24,271
8,14.6,10.3,12.7,22,292
8,16.3,11.4,14.1,20,324
6,14.2,10.6,12.6,22,290
8,14.9,10.6,13.0,22,299
8,16.4,11.7,14.3,20,329
4,9.1,6.7,8.0,35,184
4,8.5,6.2,7.5,38,173
4,9.6,6.6,8.3,34,191
4,8.9,6.7,7.9,36,182
4,9.4,7.0,8.3,34,191
4,8.8,7.0,8.0,35,184
4,9.1,6.7,8.0,35,184
4,8.5,6.2,7.5,38,172
4,9.6,6.6,8.3,34,191
4,8.9,6.7,7.9,36,182
4,9.4,7.0,8.3,34,191
4,8.8,7.0,8.0,35,184
4,7.7,6.0,6.9,41,159
4,7.6,6.0,6.9,41,159
8,16.0,11.1,13.8,20,317
8,16.0,11.1,13.8,20,317
8,16.0,11.1,13.8,20,317
8,16.0,11.1,13.8,20,317
6,14.3,9.9,12.3,23,283
6,14.6,10.2,12.6,22,290
4,9.4,7.1,8.4,34,193
4,9.1,6.8,8.1,35,186
4,10.0,7.8,9.0,31,207
6,12.4,7.7,10.3,27,237
4,11.7,8.2,10.1,28,232
4,12.9,8.1,10.7,26,246
6,12.5,8.1,10.5,27,242
4,11.2,8.0,9.8,29,225
4,12.0,7.6,10.0,28,230
6,12.5,8.1,10.5,27,242
8,15.8,9.2,12.8,22,294
6,12.8,8.6,10.9,26,251
8,16.1,10.0,13.4,21,308
6,12.8,8.6,10.9,26,251
6,12.4,7.7,10.3,27,237
8,16.7,10.3,13.8,20,317
6,14.1,9.5,12.0,24,276
4,11.2,8.0,9.8,29,225
4,12.0,7.6,10.0,28,230
6,12.5,8.1,10.5,27,242
6,13.2,8.7,11.2,25,258
8,15.6,10.0,13.1,22,301
8,15.8,9.2,12.8,22,294
8,16.8,10.4,13.9,20,320
8,16.7,10.3,13.8,20,317
6,13.2,8.7,11.2,25,258
6,12.4,7.7,10.3,27,237
8,15.8,9.2,12.8,22,294
6,12.8,8.6,10.9,26,251
8,16.1,10.0,13.4,21,308
6,12.8,8.6,10.9,26,251
6,13.2,8.7,11.2,25,258
6,12.3,7.6,10.2,28,235
8,16.7,10.3,13.8,20,317
4,9.4,6.5,8.1,35,186
4,10.1,6.8,8.6,33,198
4,10.5,6.7,8.8,32,202
4,9.9,7.0,8.6,33,198
4,10.6,7.5,9.2,31,212
4,10.2,7.0,8.8,32,202
4,8.4,5.9,7.3,39,168
4,8.5,5.8,7.3,39,168
8,17.3,10.8,14.4,20,331
6,13.9,9.8,12.1,23,278
6,13.7,9.4,11.8,24,271
4,12.7,9.1,11.1,25,255
6,14.5,9.9,12.4,23,285
6,14.2,9.4,12.0,24,276
4,8.5,6.9,7.8,36,179
4,8.5,6.9,7.8,36,179
4,8.7,6.9,7.9,36,182
4,7.9,6.3,7.2,39,166
4,8.5,6.9,7.8,36,179
4,8.7,6.9,7.9,36,182
4,7.6,5.9,6.8,42,156
4,8.5,6.9,7.8,36,179
4,10.0,7.2,8.7,32,200
4,9.3,7.2,8.4,34,193
4,5.6,6.4,6.0,47,138
8,17.7,14.4,16.2,17,373
8,19.3,14.7,17.2,16,396
8,18.6,14.6,16.8,17,386
10,23.9,17.8,21.2,13,488
8,20.6,15.5,18.3,15,421
4,11.3,7.9,9.8,29,225
6,12.6,8.7,10.8,26,248
6,13.3,9.3,11.5,25,264
6,13.7,10.4,12.2,23,281
4,10.4,7.4,9.1,31,209
4,10.9,8.0,9.6,29,221
4,10.9,7.5,9.4,30,216
4,10.5,7.9,9.3,30,214
4,11.2,8.5,10.0,28,230
8,18.2,13.3,16.0,18,368
4,11.8,8.3,10.2,28,235
6,14.8,10.7,13.0,22,299
6,13.7,9.7,11.9,24,274
6,14.3,10.3,12.5,23,288
6,14.5,10.6,12.7,22,292
6,14.6,10.6,12.8,22,294
8,18.3,12.9,15.9,18,366
6,15.9,11.3,13.8,20,317
6,15.4,11.0,13.4,21,308
8,20.1,14.4,17.5,16,402
6,14.0,10.3,12.3,23,283
6,14.0,10.3,12.3,23,283
8,16.4,12.3,14.6,19,336
8,16.4,12.3,14.6,19,336
6,15.0,11.4,13.4,21,308
6,15.0,11.4,13.4,21,308
8,16.8,12.6,14.9,19,343
8,16.7,12.5,14.8,19,340
8,20.4,15.0,18.0,16,414
4,8.5,6.5,7.6,37,175
4,8.6,6.4,7.6,37,175
4,7.5,5.5,6.6,43,152
4,8.0,5.8,7.0,40,161
4,8.9,6.8,8.0,35,184
6,13.2,9.4,11.5,25,264
6,13.7,10.2,12.1,23,278
6,14.8,10.4,12.8,22,294
4,10.2,7.4,8.9,32,205
4,8.8,6.4,7.7,37,177
4,8.9,6.4,7.8,36,179
4,9.1,6.6,8.0,35,184
4,8.4,5.8,7.2,39,166
4,10.1,6.6,8.5,33,196
4,9.4,6.4,8.1,35,186
4,10.5,7.1,9.0,31,207
4,10.5,7.0,8.9,32,205
4,9.5,6.3,8.1,35,186
4,10.9,7.5,9.4,30,216
4,5.3,5.7,5.5,51,126
6,12.1,7.8,10.2,28,235
6,12.7,8.1,10.6,27,244
8,13.3,9.3,11.5,25,264
8,15.4,9.4,12.7,22,292
8,15.9,9.9,13.2,21,304
6,12.5,8.2,10.6,27,244
4,10.5,7.3,9.1,31,209
6,13.7,9.4,11.8,24,271
6,12.1,8.1,10.3,27,237
6,13.0,9.1,11.2,25,258
4,10.8,8.0,9.5,30,218
4,11.3,8.2,9.9,29,228
4,11.5,8.3,10.1,28,232
4,11.9,8.5,10.4,27,239
6,14.3,9.9,12.3,23,283
6,14.9,10.4,12.9,22,297
6,17.1,12.7,15.1,19,347
8,18.0,13.4,15.9,18,366
8,18.3,14.2,16.5,17,380
8,18.6,13.9,16.5,17,380
8,18.3,14.2,16.5,17,380
8,18.6,13.9,16.5,17,380
8,18.3,14.2,16.5,17,380
8,21.1,14.2,18.0,16,414
8,21.9,15.0,18.8,15,432
8,21.3,14.3,18.2,16,419
8,22.1,15.0,18.9,15,435
6,13.4,9.9,11.8,24,271
8,14.6,10.3,12.7,22,292
8,16.3,11.4,14.1,20,324
6,14.2,10.6,12.6,22,290
8,14.9,10.6,13.0,22,299
8,16.4,11.7,14.3,20,329
4,10.5,7.3,9.1,31,209
6,13.9,9.6,12.0,24,276
4,11.5,8.2,10.0,28,230
6,14.8,9.9,12.6,22,290
8,16.0,11.1,13.8,20,317
8,16.0,11.1,13.8,20,317
8,17.0,11.8,14.7,19,338
8,18.8,13.4,16.4,17,377
8,16.0,11.1,13.8,20,317
8,16.0,11.1,13.8,20,317
4,9.0,6.6,7.9,36,182
4,9.1,6.9,8.1,35,186
4,10.1,6.9,8.7,32,200
6,11.0,6.8,9.1,31,209
6,11.4,7.3,9.6,29,221
6,13.0,8.4,10.9,26,251
4,4.7,4.9,4.8,59,110
4,7.9,6.0,7.0,40,161
4,8.1,6.2,7.2,39,166
4,8.5,6.6,7.6,37,175
6,12.5,8.5,10.7,26,246
4,10.3,7.6,9.1,31,209
4,10.6,7.9,9.4,30,216
4,6.6,6.0,6.3,45,145
4,7.6,6.1,6.9,41,159
4,8.3,6.5,7.5,38,172
4,8.3,6.9,7.7,37,177
6,12.3,8.5,10.6,27,244
6,13.3,9.3,11.5,25,265
6,13.9,9.7,12.0,24,276
6,15.2,11.3,13.4,21,308
4,8.8,6.3,7.7,37,177
4,8.7,6.4,7.7,37,177
4,9.8,7.2,8.6,33,198
4,9.8,7.0,8.5,33,196
8,15.7,10.2,13.2,21,304
6,13.0,8.7,11.1,25,255
6,13.0,9.1,11.2,25,258
6,13.3,9.5,11.6,24,267
4,11.6,8.7,10.3,27,237
4,12.9,9.7,11.5,25,264
4,12.5,9.4,11.1,25,255
4,11.4,7.5,9.6,29,221
4,9.8,7.0,8.5,33,196
4,6.5,5.9,6.2,46,143
4,6.6,5.9,6.3,45,145
4,10.2,8.2,9.3,30,214
4,11.4,8.6,10.1,28,232
4,11.3,8.3,10.0,28,230
4,11.4,9.3,10.5,27,242
4,11.6,9.3,10.6,27,244
4,8.6,6.6,7.7,37,177
4,9.1,6.7,8.0,35,184
4,9.9,7.5,8.8,32,202
4,9.7,7.1,8.5,33,196
6,12.0,8.0,10.2,28,235
6,12.6,8.7,10.8,26,248
6,8.2,6.7,7.5,38,172
6,8.7,7.5,8.2,34,189
6,13.3,9.4,11.5,25,265
6,13.6,9.3,11.7,24,269
6,14.3,9.8,12.3,23,283
6,12.9,8.9,11.1,25,255
6,13.5,9.3,11.6,24,267
6,12.8,8.9,11.0,26,253
8,14.5,9.5,12.3,23,283
6,13.2,9.6,11.6,24,267
8,15.0,10.2,12.8,22,294
6,8.0,7.0,7.6,37,175
6,13.6,9.6,11.8,24,271
6,11.9,9.0,10.6,27,244
6,12.3,9.3,11.0,26,253
4,8.8,8.2,8.5,33,196
6,14.5,10.7,12.8,22,294
8,16.6,11.9,14.5,19,334
8,17.4,12.1,15.0,19,345
6,11.8,8.4,10.3,27,237
6,12.2,8.7,10.6,27,244
8,15.0,10.2,12.8,22,294
4,12.3,8.2,10.5,27,242
6,14.7,9.1,12.2,23,281
8,15.7,10.3,13.3,21,306
8,15.7,10.3,13.3,21,306
6,14.6,9.6,12.4,23,285
8,15.8,10.2,13.3,21,306
6,14.7,9.6,12.4,23,285
8,15.8,10.2,13.3,21,306
8,15.8,10.2,13.3,21,306
8,15.8,10.2,13.3,21,306
8,15.1,10.6,13.1,22,301
8,14.8,9.9,12.6,22,290
8,15.9,10.9,13.7,21,315
8,15.6,10.9,13.5,21,310
8,15.9,10.9,13.7,21,315
8,15.6,10.9,13.5,21,310
4,10.9,7.7,9.5,30,218
6,12.3,8.3,10.5,27,242
4,11.3,8.3,10.0,28,230
6,12.5,8.8,10.8,26,248
4,11.4,8.6,10.1,28,232
6,12.5,9.1,11.0,26,253
4,12.1,9.4,10.9,26,251
6,13.4,9.5,11.6,24,267
4,10.7,8.8,9.9,29,228
4,11.1,8.3,9.8,29,225
4,10.2,7.8,9.1,31,209
4,11.1,8.3,9.8,29,225
4,10.3,8.3,9.4,30,216
4,11.4,8.7,10.2,28,235
4,10.3,8.4,9.4,30,216
4,11.7,10.3,11.1,25,255
8,17.3,11.7,14.8,19,340
6,13.9,9.8,12.1,23,278
8,18.5,12.6,15.8,18,363
4,10.7,8.8,9.9,29,228
4,11.1,8.3,9.8,29,225
4,10.2,7.8,9.1,31,209
4,11.1,8.3,9.8,29,225
4,10.3,8.3,9.4,30,216
4,11.4,8.7,10.2,28,235
4,10.3,8.4,9.4,30,216
4,11.7,10.3,11.1,25,255
6,14.1,11.1,12.8,22,294
6,14.2,11.0,12.8,22,294
6,14.8,11.7,13.4,21,308
6,15.0,11.4,13.4,21,308
6,12.7,8.8,10.9,26,251
4,9.6,6.6,8.3,34,191
4,9.3,6.4,8.0,35,184
4,9.8,6.6,8.4,34,193
4,9.7,6.8,8.4,34,193
4,11.1,8.0,9.7,29,223
4,11.1,8.2,9.8,29,225
4,9.7,6.8,8.4,34,193
4,9.8,7.0,8.5,33,196
4,10.6,7.9,9.4,30,216
4,10.8,8.1,9.6,29,221
4,9.6,7.0,8.4,34,193
4,9.8,7.2,8.6,33,198
4,11.7,7.6,9.9,29,228
4,10.2,6.8,8.7,32,200
4,6.5,5.9,6.2,46,143
4,6.7,6.0,6.4,44,147
4,8.7,6.3,7.6,37,175
4,8.7,6.4,7.7,37,177
4,8.5,6.4,7.6,37,175
4,10.5,7.5,9.2,31,212
4,10.8,7.4,9.3,30,214
6,13.7,9.9,12.0,24,276
4,11.8,8.5,10.3,27,237
6,12.9,9.5,11.4,25,262
4,12.3,9.3,11.0,26,253
6,13.4,9.9,11.8,24,271
4,9.8,7.9,8.9,32,205
4,9.9,7.8,9.0,31,207
4,10.1,7.8,9.1,31,209
4,9.7,7.8,8.8,32,202
4,11.4,8.3,10.0,28,230
4,12.9,9.3,11.3,25,260
4,12.7,9.7,11.4,25,262
4,12.0,9.1,10.7,26,246
12,22.8,12.9,18.3,15,421
10,18.0,12.8,15.7,18,361
10,20.6,13.5,17.4,16,400
4,13.5,9.9,11.9,24,274
6,16.3,12.4,14.5,19,334
4,11.3,7.9,9.8,29,225
4,11.3,7.9,9.8,29,225
8,18.0,12.2,15.4,18,354
8,17.2,12.5,15.1,19,347
6,14.2,10.2,12.4,23,285
6,14.2,10.2,12.4,23,285
8,17.3,12.2,15.0,19,345
8,16.6,12.3,14.7,19,338
6,14.1,10.1,12.3,23,283
6,14.1,10.1,12.3,23,283
8,18.0,12.2,15.4,18,354
8,17.2,12.5,15.1,19,347
4,5.5,5.8,5.6,50,129
4,5.8,6.2,6.0,47,138
6,11.3,7.6,9.6,29,221
6,12.1,8.3,10.4,27,239
6,12.5,9.1,11.0,26,253
6,7.7,7.4,7.6,37,175
8,15.7,11.8,13.9,20,320
6,11.2,7.8,9.7,29,223
6,11.8,8.7,10.4,27,239
6,11.2,7.8,9.7,29,223
6,12.2,8.7,10.6,27,244
6,12.5,9.1,11.0,26,253
6,12.1,8.7,10.6,27,244
8,14.6,10.1,12.6,22,290
8,14.5,9.6,12.3,23,283
8,15.1,10.3,12.9,22,297
8,15.1,10.3,12.9,22,297
8,12.0,10.7,11.4,25,262
8,18.8,13.6,16.5,17,380
6,13.3,9.8,11.7,24,269
6,12.7,9.1,11.1,25,255
6,7.9,8.6,8.2,34,189
6,13.7,9.4,11.8,24,271
6,13.1,9.0,11.3,25,260
6,14.8,10.4,12.8,22,294
4,11.5,8.5,10.2,28,235
6,14.0,9.9,12.2,23,281
6,13.7,10.4,12.2,23,281
4,10.5,7.1,9.0,31,207
6,13.1,9.3,11.4,25,262
4,6.2,6.4,6.3,45,145
8,18.2,13.3,16.0,18,368
6,15.2,9.6,12.7,22,292
6,15.2,9.6,12.7,22,292
8,18.2,11.4,15.1,19,347
8,18.2,11.7,15.3,18,352
8,17.6,10.7,14.5,19,334
6,15.9,9.7,13.1,22,301
4,8.9,7.3,8.2,34,189
4,9.0,6.8,8.0,35,184
4,9.6,7.4,8.6,33,198
4,9.3,7.6,8.5,33,196
4,9.8,7.9,8.9,32,205
6,14.2,10.0,12.3,23,283
6,14.3,10.6,12.6,22,290
4,8.4,6.9,7.7,37,177
4,8.0,6.7,7.4,38,170
4,7.9,5.7,6.9,41,159
4,8.0,5.8,7.0,40,161
4,8.4,6.1,7.4,38,170
4,8.3,6.1,7.3,39,168
4,8.0,5.8,7.0,40,161
4,8.0,5.9,7.1,40,163
4,8.2,5.9,7.2,39,166
4,8.7,6.5,7.7,37,177
4,8.2,6.1,7.3,39,168
4,8.2,5.9,7.2,39,166
4,10.8,8.4,9.7,29,223
4,11.1,8.3,9.8,29,225
4,8.8,6.2,7.6,37,175
4,9.4,6.4,8.1,35,186
4,8.4,5.9,7.3,39,168
4,11.5,8.5,10.2,28,235
4,10.5,8.5,9.6,29,221
4,11.1,8.4,9.9,29,228
4,9.2,6.6,8.0,35,184
4,10.9,7.5,9.4,30,216
4,11.0,7.4,9.4,30,216
6,12.2,8.5,10.5,27,242
6,12.0,8.6,10.5,27,242
6,11.9,8.6,10.4,27,239
6,12.1,8.7,10.6,27,244
6,12.1,8.6,10.5,27,242
8,17.7,11.9,15.1,19,347
8,17.9,12.2,15.3,18,352
8,15.4,10.4,13.2,21,304
8,15.4,11.0,13.4,21,308
4,9.1,6.2,7.8,36,179
4,10.3,7.8,9.2,31,212
8,13.3,9.4,11.5,25,264
8,15.1,10.7,13.1,22,301
8,15.1,10.7,13.1,22,301
6,11.8,8.2,10.2,28,235
6,11.6,8.1,10.0,28,230
6,11.9,8.5,10.4,27,239
6,12.1,8.6,10.5,27,242
6,12.0,8.5,10.4,27,239
6,11.9,8.2,10.2,28,235
6,9.6,7.9,8.8,32,202
8,13.6,9.1,11.6,24,267
8,13.7,9.3,11.7,24,269
8,13.4,8.9,11.4,25,262
8,15.0,10.3,12.9,22,297
8,15.5,11.0,13.5,21,310
8,15.0,10.3,12.9,22,297
8,15.5,11.0,13.5,21,310
8,20.0,15.9,18.2,16,419
8,19.4,15.7,17.7,16,407
8,17.1,12.8,15.2,19,350
8,17.6,13.1,15.6,18,359
8,17.7,13.4,15.8,18,363
6,12.6,9.6,11.3,25,260
6,13.4,10.5,12.1,23,278
8,16.2,11.8,14.2,20,327
8,17.2,13.5,15.5,18,356
8,14.3,9.5,12.1,23,278
8,14.2,9.4,12.0,24,276
8,15.6,10.3,13.2,21,304
8,13.4,9.6,11.7,24,269
8,14.8,10.2,12.7,22,292
8,16.7,11.2,14.2,20,327
4,10.3,7.2,8.9,32,205
4,10.4,7.3,9.0,31,207
6,11.1,8.1,9.8,29,225
8,12.3,8.7,10.7,26,246
8,18.7,13.9,16.5,17,380
8,18.2,12.6,15.7,18,361
8,18.2,12.6,15.7,18,361
4,8.7,6.6,7.8,36,179
4,8.6,6.8,7.8,36,179
4,8.7,6.6,7.8,36,179
4,8.6,6.8,7.8,36,179
4,9.4,7.9,8.7,32,200
4,8.6,6.8,7.8,36,179
4,8.5,6.6,7.6,37,175
4,8.0,6.4,7.3,39,168
4,9.4,7.9,8.7,32,200
4,8.6,6.8,7.8,36,179
4,8.7,6.6,7.8,36,179
4,8.6,6.8,7.8,36,179
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,10.0,7.8,9.0,31,207
4,9.3,7.5,8.5,33,196
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,10.0,7.8,9.0,31,207
4,9.3,7.5,8.5,33,196
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,10.0,7.8,9.0,31,207
4,9.3,7.5,8.5,33,196
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,10.0,7.8,9.0,31,207
4,9.3,7.5,8.5,33,196
4,9.3,7.0,8.3,34,191
4,9.1,6.7,8.0,35,184
4,9.2,7.0,8.2,34,189
4,9.6,6.8,8.3,34,191
4,10.5,8.2,9.5,30,218
4,14.2,10.5,12.5,23,288
4,14.0,10.3,12.3,23,283
4,13.4,9.4,11.6,24,267
4,9.6,7.3,8.6,33,198
4,9.8,7.1,8.6,33,198
3,6.4,5.4,6.0,47,138
3,7.0,5.6,6.4,44,147
4,9.5,7.5,8.6,33,198
4,9.9,8.1,9.1,31,209
6,11.5,8.5,10.2,28,235
4,9.6,7.6,8.7,32,200
4,9.9,7.5,8.8,32,202
4,9.8,8.0,9.0,31,207
6,12.6,9.1,11.0,26,253
6,13.3,9.3,11.5,25,264
6,13.0,9.5,11.4,25,262
6,13.5,9.6,11.7,24,269
4,8.7,6.2,7.6,37,175
6,10.8,7.4,9.3,30,214
8,19.1,13.4,16.5,17,380
4,13.7,10.6,12.3,23,283
4,12.2,10.2,11.3,25,260
6,14.7,10.2,12.7,22,292
6,15.7,11.2,13.7,21,315
6,14.8,11.0,13.1,22,301
6,14.5,10.9,12.9,22,297
4,8.7,7.3,8.1,35,186
4,9.5,7.6,8.6,33,198
4,9.3,7.9,8.7,32,200
6,12.3,9.1,10.9,26,251
6,13.2,10.1,11.8,24,271
4,10.0,8.5,9.3,30,214
6,12.0,8.9,10.6,27,244
6,12.3,9.3,11.0,26,253
4,9.1,8.5,8.8,32,202
6,12.5,9.5,11.1,25,255
4,9.2,7.2,8.3,34,191
4,9.5,7.4,8.6,33,198
4,7.8,6.0,7.0,40,161
4,8.7,6.6,7.8,36,179
8,17.9,12.8,15.6,18,359
8,19.7,14.3,17.3,16,398
4,7.2,5.8,6.6,43,152
4,8.6,6.5,7.7,37,177
6,16.1,11.9,14.2,20,327
6,15.2,11.9,13.7,21,315
6,11.6,8.3,10.1,28,232
6,12.5,8.6,10.7,26,246
